 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  
"=""00:15""";0;249;1;249;1;0;0;0
"=""00:30""";0;243;1;242;1;0;0;0
"=""00:45""";0;291;1;291;1;0;0;0
"=""01:00""";0;360;1;360;1;0;0;0
"=""01:15""";0;357;1;357;1;0;0;0
"=""01:30""";0;319;1;319;1;0;0;0
"=""01:45""";0;322;1;322;1;0;0;0
"=""02:00""";0;275;1;275;1;0;0;0
"=""02:15""";0;248;1;248;1;0;0;0
"=""02:30""";0;242;1;243;1;0;0;0
"=""02:45""";0;277;1;276;1;0;0;0
"=""03:00""";0;288;1;288;1;0;0;0
"=""03:15""";0;285;1;285;1;0;0;0
"=""03:30""";0;244;1;244;1;0;0;0
"=""03:45""";0;242;1;242;1;0;0;0
"=""04:00""";0;263;1;263;1;0;0;0
"=""04:15""";0;319;1;319;1;0;0;0
"=""04:30""";0;315;1;315;1;0;0;0
"=""04:45""";0;348;1;348;2;0;0;0
"=""05:00""";0;423;1;423;1;0;0;0
"=""05:15""";0;302;1;302;1;0;0;0
"=""05:30""";0;250;1;250;1;0;0;0
"=""05:45""";0;242;1;242;1;0;0;0
"=""06:00""";0;241;1;241;1;0;0;0
"=""06:15""";0;243;1;243;1;0;0;0
"=""06:30""";0;241;1;240;1;0;0;0
"=""06:45""";0;840;3;842;1;0;0;0
"=""07:00""";0;"1,054";1;"1,054";1;0;0;0
"=""07:15""";0;"1,097";1;"1,097";1;0;0;0
"=""07:30""";0;"1,105";1;"1,105";1;0;0;0
"=""07:45""";12;"1,082";1;"1,095";1;12;0;13
"=""08:00""";30;"1,027";2;"1,059";2;30;0;32
"=""08:15""";22;"1,120";1;"1,143";1;22;0;23
"=""08:30""";123;942;1;"1,066";1;123;0;124
"=""08:45""";235;808;2;"1,045";2;235;0;237
"=""09:00""";285;844;1;"1,130";1;285;0;286
"=""09:15""";334;810;1;"1,145";1;334;0;335
"=""09:30""";156;930;2;"1,088";2;156;0;158
"=""09:45""";167;974;1;"1,142";1;167;0;168
"=""10:00""";263;889;1;"1,153";1;263;0;264
"=""10:15""";324;835;2;"1,162";3;324;0;327
"=""10:30""";304;923;1;"1,228";1;304;0;305
"=""10:45""";337;961;1;"1,300";1;337;0;338
"=""11:00""";473;869;1;"1,343";1;473;0;474
"=""11:15""";670;691;2;"1,362";1;670;0;671
"=""11:30""";806;537;2;"1,345";2;806;0;808
"=""11:45""";892;400;1;"1,293";1;892;0;893
"=""12:00""";927;352;2;"1,281";2;927;0;929
"=""12:15""";790;511;3;"1,304";2;790;0;792
"=""12:30""";537;784;1;"1,323";2;537;0;539
"=""12:45""";339;"1,019";3;"1,361";2;339;0;341
"=""13:00""";355;489;578;"1,423";1;355;0;356
"=""13:15""";882;0;589;"1,471";12;882;20;914
"=""13:30""";856;48;13;917;14;856;755;"1,625"
"=""13:45""";232;0;27;258;30;232;"1,359";"1,620"
"=""14:00""";265;0;76;341;74;265;"2,666";"3,005"
"=""14:15""";283;0;35;318;34;283;"1,541";"1,858"
"=""14:30""";289;0;20;308;20;289;982;"1,290"
"=""14:45""";326;0;50;377;50;326;"2,363";"2,740"
"=""15:00""";301;0;54;355;54;301;"1,842";"2,197"
"=""15:15""";270;0;33;303;35;270;"2,100";"2,404"
"=""15:30""";0;0;16;;18;0;"2,290";"2,253"
"=""15:45""";247;0;21;268;20;247;"2,754";"3,021"
"=""16:00""";254;0;13;267;13;254;"2,666";"2,933"
"=""16:15""";244;0;11;255;8;244;"2,101";"2,353"
"=""16:30""";240;0;8;248;8;240;"1,937";"2,185"
"=""16:45""";266;0;10;276;10;266;"2,158";"2,434"
"=""17:00""";294;0;14;308;14;294;"2,306";"2,614"
"=""17:15""";347;0;10;357;9;347;"1,566";"1,922"
"=""17:30""";325;0;6;332;6;325;"1,435";"1,767"
"=""17:45""";307;0;6;313;5;307;"1,328";"1,639"
"=""18:00""";304;0;3;307;2;304;848;"1,154"
"=""18:15""";258;0;2;260;2;258;671;931
"=""18:30""";225;0;1;226;1;225;394;620
"=""18:45""";248;0;2;249;2;248;257;507
"=""19:00""";268;0;1;269;1;268;111;380
"=""19:15""";269;0;9;278;0;269;70;340
"=""19:30""";209;26;9;243;1;209;1;210
"=""19:45""";196;24;11;230;1;196;13;209
"=""20:00""";60;157;1;218;1;60;0;61
"=""20:15""";14;229;1;244;1;14;0;15
"=""20:30""";0;305;1;305;1;0;0;0
"=""20:45""";0;330;2;331;1;0;0;0
"=""21:00""";0;364;1;364;1;0;0;0
"=""21:15""";0;369;1;369;1;0;0;0
"=""21:30""";0;335;1;335;1;0;0;0
"=""21:45""";0;244;1;244;1;0;0;0
"=""22:00""";0;244;1;244;1;0;0;0
"=""22:15""";0;245;1;245;1;0;0;0
"=""22:30""";0;241;1;241;1;0;0;0
"=""22:45""";0;253;1;253;1;0;0;0
"=""23:00""";0;289;1;289;1;0;0;0
"=""23:15""";0;286;1;286;1;0;0;0
"=""23:30""";0;268;1;268;1;0;0;0
"=""23:45""";0;298;1;298;1;0;0;0
"=""00:00""";0;314;1;314;1;0;0;0
